player_of_match,awards_won
AB de Villiers,25
CH Gayle,22
RG Sharma,19
DA Warner,18
V Kohli,18
MS Dhoni,17
YK Pathan,16
SR Watson,16
RA Jadeja,16
SP Narine,15
